year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1903;Palestine;20;0-1000;;Not specified;;Not specified;;Not specified;5.7;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
1903;Turkey;3560;1000-10000;;Not specified;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1903;Turkey;1000;1000-10000;;Not specified;;Not specified;;Not specified;5.8;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.02344759296103
1903;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.52209279817015
1903;Colombia;;Not specified;;Not specified;;Not specified;;Not specified;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.15905529921453
1903;Iran;350;0-1000;;Not specified;;Not specified;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1903;Chile;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.85646198459459
1903;Philippines;;Not specified;;Not specified;;Not specified;60;50-410;7.22;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.23832462503951
1904;Bulgaria;;Not specified;;Not specified;;Not specified;15;10-50;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;2.30258509299405
1904;Bulgaria;;Not specified;;Not specified;;Not specified;15;10-50;7.22;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;2.30258509299405
1904;Taiwan;3;0-1000;10;0-100;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
1904;Turkey;4;0-1000;;Not specified;;Not specified;10;10-50;6.18;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1904;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;8.3;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;6.52209279817015
1904;China;400;0-1000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1904;Ecuador;;Not specified;;Not specified;;Not specified;;Not specified;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.11198778835654
1904;Taiwan;145;0-1000;158;100-500;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
1904;Panama;;Not specified;;Not specified;;Not specified;60;50-410;6.85;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;3.61091791264422
1905;Costa Rica;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.56434819146784
1905;India;19000;10000-100000;;Not specified;;Not specified;25;10-50;7.22;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.15905529921453
1905;Turkey;;Not specified;;Not specified;;Not specified;33;10-50;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1905;Albania;120;0-1000;;Not specified;23.8;0-100;20;10-50;6.6;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.26267987704132
1905;Japan;11;0-1000;;Not specified;;Not specified;100;50-410;7.22;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1905;Mongolia;;Not specified;;Not specified;;Not specified;33;10-50;7.55;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.00733318523247
1905;Mongolia;;Not specified;;Not specified;;Not specified;33;10-50;7.55;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.00733318523247
1905;Italy;557;0-1000;2000;2000-10000;;Not specified;15;10-50;6.79;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;4.93447393313069
1905;Bulgaria;;Not specified;;Not specified;;Not specified;33;10-50;6.4;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;2.30258509299405
1905;Georgia;;Not specified;;Not specified;;Not specified;60;50-410;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;3.58351893845611
1905;China;13;0-1000;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;7.37337430991005
1905;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.8;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1906;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1906;Colombia;;Not specified;;Not specified;;Not specified;;Not specified;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.15905529921453
1906;Albania;;Not specified;;Not specified;;Not specified;15;10-50;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.26267987704132
1906;Taiwan;1258;1000-10000;145;100-500;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
1906;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1906;Taiwan;15;0-1000;84;0-100;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
1906;United States of America;700;0-1000;;Not specified;400;100-1000;20;10-50;7.9;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.52209279817015
1906;China;1;0-1000;;Not specified;;Not specified;;Not specified;5.46;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1906;Colombia;;Not specified;;Not specified;;Not specified;;Not specified;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.15905529921453
1906;Colombia;;Not specified;;Not specified;;Not specified;;Not specified;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.15905529921453
1906;Ethiopia;;Not specified;;Not specified;;Not specified;;Not specified;6.8;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.00733318523247
1906;Ecuador;;Not specified;;Not specified;;Not specified;150;50-410;7.27;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;5.11198778835654
1906;China;280;0-1000;;Not specified;;Not specified;33;10-50;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1906;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;7.6;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.52209279817015
1907;Jamaica;1000;1000-10000;;Not specified;30;0-100;;Not specified;6.5;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;1.38629436111989
1907;Peru;;Not specified;;Not specified;;Not specified;90;50-410;7.6;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.35957386867238
1907;Mexico;8;0-1000;;Not specified;;Not specified;60;50-410;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1907;Philippines;2;0-1000;;Not specified;;Not specified;;Not specified;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.23832462503951
1907;Philippines;;Not specified;;Not specified;;Not specified;;Not specified;6.98;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.23832462503951
1907;Albania;;Not specified;;Not specified;;Not specified;13;10-50;6.2;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.26267987704132
1907;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;5;6.52209279817015
1907;Uzbekistan;12000;10000-100000;;Not specified;;Not specified;35;10-50;6.98;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;3.46573590279973
1907;Italy;158;0-1000;;Not specified;;Not specified;33;10-50;5.95;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.93447393313069
1908;United States of America;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.52209279817015
1908;Philippines;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.23832462503951
1908;Mexico;;Not specified;;Not specified;;Not specified;80;50-410;7.39;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1908;Afghanistan;;Not specified;;Not specified;;Not specified;220;50-410;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.9427993751267
1908;Myanmar;;Not specified;;Not specified;;Not specified;15;10-50;7.2;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.51745289646471
1909;Turkey;8;0-1000;;Not specified;;Not specified;;Not specified;5.8;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1909;Iran;5500;1000-10000;;Not specified;;Not specified;33;10-50;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1909;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1909;Taiwan;9;0-1000;51;0-100;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;
1909;Portugal;30;0-1000;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;0.693147180559945
1909;China;21;0-1000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1909;Indonesia;;Not specified;;Not specified;;Not specified;40;10-50;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.31455283232408
1909;Chile;;Not specified;;Not specified;;Not specified;;Not specified;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.85646198459459
1909;France;40;0-1000;;Not specified;;Not specified;;Not specified;6.18;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;2.30258509299405
1909;Afghanistan;;Not specified;;Not specified;;Not specified;230;50-410;7.39;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;5.9427993751267
1909;Greece;;Not specified;;Not specified;;Not specified;4;0-10;5.7;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.2257466737132
1909;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;7.22;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1909;Japan;41;0-1000;;Not specified;;Not specified;33;10-50;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1909;Pakistan;231;0-1000;;Not specified;;Not specified;60;50-410;7.2;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.57972982598622
1909;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;5.8;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.02344759296103
1909;Japan;;Not specified;;Not specified;;Not specified;190;50-410;7.9;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1910;Papua New Guinea;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;7.22766249872865
1910;Italy;;Not specified;;Not specified;;Not specified;33;10-50;5.9;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.93447393313069
1910;Algeria;12;0-1000;;Not specified;;Not specified;33;10-50;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;3.78418963391826
1910;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.1;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.02344759296103
1910;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;6.9;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1910;Tanzania;2;0-1000;;Not specified;;Not specified;;Not specified;6.92;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.26267987704132
1910;Philippines;;Not specified;;Not specified;;Not specified;60;50-410;6.18;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.23832462503951
1911;Kazakhstan;450;0-1000;;Not specified;;Not specified;25;10-50;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.36729582998647
1911;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1911;Tajikistan;90;0-1000;;Not specified;;Not specified;26;10-50;6.98;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.97673374242057
1911;North Macedonia;;Not specified;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;2.39789527279837
1928;Turkey;170;0-1000;700;500-2000;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1928;Peru;10;0-1000;;Not specified;;Not specified;30;10-50;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.35957386867238
1928;Bulgaria;127;0-1000;1735;500-2000;;Not specified;7;0-10;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;2.30258509299405
1928;Mexico;;Not specified;;Not specified;;Not specified;;Not specified;7.22;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1928;Bulgaria;;Not specified;;Not specified;;Not specified;10;10-50;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;2.30258509299405
1928;Greece;20;0-1000;;Not specified;;Not specified;29;10-50;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;5.2257466737132
1928;Greece;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.2257466737132
1928;Greece;;Not specified;;Not specified;;Not specified;;Not specified;5.38;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;5.2257466737132
1928;Peru;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;5;6.35957386867238
1928;Peru;29;0-1000;;Not specified;8;0-100;;Not specified;7.3;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.35957386867238
1646;Italy;;Not specified;;Not specified;;Not specified;;Not specified;5.38;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;4.93447393313069
1647;Chile;1000;1000-10000;;Not specified;;Not specified;;Not specified;7.6;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.85646198459459
1647;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.4;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1652;Russia;;Not specified;;Not specified;;Not specified;10;10-50;5.87;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.12249280951439
1652;China;3000;1000-10000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1653;Turkey;2500;1000-10000;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1654;China;10400;10000-100000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;7.37337430991005
1657;Chile;40;0-1000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.85646198459459
1657;China;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1658;China;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1660;Ecuador;;Not specified;;Not specified;;Not specified;;Not specified;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.11198778835654
1661;Taiwan;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
1664;Peru;400;0-1000;;Not specified;;Not specified;15;10-50;7.3;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.35957386867238
1664;South Korea;50;0-1000;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
1664;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1666;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1667;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;6.02344759296103
1667;Azerbaijan;80000;10000-100000;;Not specified;;Not specified;12;10-50;6.66;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;3.71357206670431
1668;Turkey;17500;10000-100000;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.02344759296103
1668;China;42578;10000-100000;;Not specified;;Not specified;;Not specified;7.6;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;12;7.37337430991005
1668;North Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;6;
1669;Azerbaijan;7000;1000-10000;;Not specified;;Not specified;5;0-10;5.7;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;3.71357206670431
1670;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.3;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;2.99573227355399
1672;Italy;1500;1000-10000;;Not specified;;Not specified;;Not specified;5.71;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;4.93447393313069
1673;Iran;5600;1000-10000;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.56807791141198
1674;Ecuador;;Not specified;;Not specified;;Not specified;;Not specified;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.11198778835654
1677;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1679;China;13162;10000-100000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;7.37337430991005
1679;China;;Not specified;;Not specified;;Not specified;;Not specified;5.2;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1680;China;2700;1000-10000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1681;Chile;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.85646198459459
1683;China;1001;1000-10000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1687;Chile;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;6.85646198459459
1687;Ecuador;;Not specified;;Not specified;;Not specified;;Not specified;7.3;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;5.11198778835654
1688;China;190;0-1000;;Not specified;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1688;Turkey;16000;10000-100000;;Not specified;;Not specified;;Not specified;6.72;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.02344759296103
1688;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1688;Russia;;Not specified;;Not specified;;Not specified;15;10-50;5.46;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.12249280951439
1689;Ecuador;;Not specified;;Not specified;;Not specified;5;0-10;6.8;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.11198778835654
1692;Argentina;;Not specified;;Not specified;;Not specified;;Not specified;7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.12905021006055
1693;Italy;60000;10000-100000;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;4.93447393313069
1694;Taiwan;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;
1695;Italy;;Not specified;;Not specified;;Not specified;;Not specified;6.2;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;4.93447393313069
1695;China;20000;10000-100000;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1698;Ecuador;;Not specified;;Not specified;;Not specified;;Not specified;7.7;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;5.11198778835654
1698;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.32;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1699;Peru;;Not specified;;Not specified;;Not specified;40;10-50;7.8;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.35957386867238
1700;South Korea;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;2.99573227355399
1703;Italy;10000;10000-100000;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;4.93447393313069
1704;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1704;China;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1707;Peru;160;0-1000;;Not specified;;Not specified;10;10-50;5.8;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.35957386867238
1709;China;2032;1000-10000;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1710;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1711;Japan;1000;1000-10000;;Not specified;;Not specified;;Not specified;6.53;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1713;China;2100;1000-10000;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1713;China;;Not specified;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1714;Greece;;Not specified;;Not specified;;Not specified;;Not specified;6.25;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;5.2257466737132
1715;Turkey;;Not specified;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.02344759296103
1715;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1716;Peru;;Not specified;;Not specified;;Not specified;40;10-50;8.8;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;6.35957386867238
1716;Peru;;Not specified;;Not specified;;Not specified;50;50-410;8.6;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;6.35957386867238
1716;China;;Not specified;;Not specified;;Not specified;30;10-50;7.5;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1718;China;73000;10000-100000;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1720;China;;Not specified;;Not specified;;Not specified;;Not specified;6.59;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;9;7.37337430991005
1721;Taiwan;;Not specified;;Not specified;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
1721;Iran;40000;10000-100000;;Not specified;;Not specified;;Not specified;7.16;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56807791141198
1725;Peru;;Not specified;;Not specified;;Not specified;3;0-10;7.1;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;6.35957386867238
1725;China;614;0-1000;184;100-500;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1725;Russia;;Not specified;;Not specified;;Not specified;50;50-410;8.2;8-9;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.12249280951439
1725;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
1727;North Korea;;Not specified;;Not specified;;Not specified;;Not specified;5.7;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;
1727;Italy;;Not specified;;Not specified;;Not specified;;Not specified;5.38;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;5;4.93447393313069
1730;China;658;0-1000;;Not specified;;Not specified;;Not specified;6.39;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;7.37337430991005
1731;Japan;;Not specified;;Not specified;;Not specified;;Not specified;6.46;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;;6.56103066589657
1733;China;;Not specified;;Not specified;;Not specified;;Not specified;7.04;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;10;7.37337430991005
1736;Taiwan;260;0-1000;100;100-500;;Not specified;;Not specified;6.03;6-7;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;
1737;Chile;;Not specified;;Not specified;;Not specified;;Not specified;7.33;7-8;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;11;6.85646198459459
1738;Slovenia;;Not specified;;Not specified;;Not specified;;Not specified;5.1;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;8;1.6094379124341
1738;China;;Not specified;;Not specified;;Not specified;;Not specified;5.63;5-6;;Not specified;;Not specified;;Not specified;;Not specified;;Not specified;7;7.37337430991005
