year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1995;Ecuador;;Not specified;;Not specified;;Not specified;59.9;Not specified;5.46;5-6;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
1995;China;;Not specified;;Not specified;;Not specified;40.1;Not specified;5.29;5-6;5.33333;0-10;-28.65;<0;3088620;3000000-4000000;;Not specified;128.337;100-200;;7.37337430991005
1995;Ecuador;;Not specified;;Not specified;;Not specified;16.7;Not specified;6.39;6-7;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
1995;Ecuador;;Not specified;;Not specified;;Not specified;18.9;Not specified;5.2;5-6;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
1995;Ecuador;;Not specified;;Not specified;;Not specified;33;Not specified;5.1;5-6;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
1995;Ecuador;;Not specified;;Not specified;;Not specified;33;Not specified;5.6;5-6;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
1995;Russia;;Not specified;;Not specified;;Not specified;10.4;Not specified;5.38;5-6;28.1667;20-30;-28.65;<0;;Not specified;;Not specified;;Not specified;;6.12249280951439
1995;Chile;;Not specified;;Not specified;;Not specified;63.9;Not specified;5.55;5-6;;Not specified;-28.65;<0;38970;0-500000;;Not specified;19.3896;0-100;;6.85646198459459
1995;Chile;;Not specified;;Not specified;;Not specified;19.7;Not specified;5.87;5-6;;Not specified;-28.65;<0;38970;0-500000;;Not specified;19.3896;0-100;;6.85646198459459
1995;Spain;;Not specified;;Not specified;;Not specified;17.9;Not specified;5.2;5-6;14.3333;10-20;-28.65;<0;240570;0-500000;0.8;0-2;79.5372;0-100;;2.63905732961526
1995;Chile;;Not specified;;Not specified;;Not specified;47.7;Not specified;5.46;5-6;;Not specified;-28.65;<0;38970;0-500000;;Not specified;19.3896;0-100;;6.85646198459459
1995;New Zealand;;Not specified;;Not specified;;Not specified;10;Not specified;6.18;6-7;17.4444;10-20;-28.65;<0;24330;0-500000;;Not specified;13.9509;0-100;;5.65948221575962
1995;Russia;;Not specified;;Not specified;;Not specified;21.5;Not specified;5.87;5-6;28.1667;20-30;-28.65;<0;;Not specified;;Not specified;;Not specified;;6.12249280951439
1995;Cyprus;;Not specified;;Not specified;;Not specified;10;Not specified;5.3;5-6;12.7222;10-20;-28.65;<0;5850;0-500000;;Not specified;93.3353;0-100;;1.38629436111989
1995;Taiwan;;Not specified;;Not specified;;Not specified;40.9;Not specified;6.18;6-7;16.1667;10-20;-28.65;<0;;Not specified;;Not specified;;Not specified;;
1995;Papua New Guinea;;Not specified;;Not specified;;Not specified;70;Not specified;5.46;5-6;;Not specified;-28.65;<0;2130;0-500000;;Not specified;10.194;0-100;;7.22766249872865
1995;Ecuador;;Not specified;;Not specified;;Not specified;90.6;Not specified;5.71;5-6;;Not specified;-28.65;<0;20920;0-500000;;Not specified;41.7631;0-100;;5.11198778835654
1995;Indonesia;;Not specified;;Not specified;;Not specified;33;Not specified;5.55;5-6;27.7778;20-30;-28.65;<0;223680;0-500000;;Not specified;109.375;100-200;;7.31455283232408
